,activity_set,activity,f1_score
0,5 activities,lay,0.6875
1,5 activities,pickup,0.666667
2,5 activities,sit,0.428571
3,5 activities,stand,0.622951
4,5 activities,standff,0
5,5 activities,walk,0.99
6,5 activities,waving,0
7,without standff,lay,0.727273
8,without standff,pickup,0.673267
9,without standff,sit,0.407407
10,without standff,stand,0.633333
11,without standff,standff,0
12,without standff,walk,0.942308
13,without standff,waving,0.919355
14,without waving,lay,0.514286
15,without waving,pickup,0.666667
16,without waving,sit,0.448276
17,without waving,stand,0.622951
18,without waving,standff,0.37037
19,without waving,walk,0.975369
20,without waving,waving,0
21,full\n(simclr),lay,0.4375
22,full\n(simclr),pickup,0.586957
23,full\n(simclr),sit,0.42623
24,full\n(simclr),stand,0.557377
25,full\n(simclr),standff,0.4
26,full\n(simclr),walk,0.917874
27,full\n(simclr),waving,0.883721
28,full\n(normal),lay,0.421053
29,full\n(normal),pickup,0.494382
30,full\n(normal),sit,0.327273
31,full\n(normal),stand,0.538462
32,full\n(normal),standff,0.648649
33,full\n(normal),walk,0.919431
34,full\n(normal),waving,0.876923
